epoch,loss,mean_io_u,val_loss,val_mean_io_u
0,0.8409266088377026,0.1891798,0.47046206643184024,0.28639215
1,0.4708590757320909,0.26064438,0.3509170251588027,0.34435624
2,0.34150170534849167,0.2628615,0.28739892815550167,0.15238068
3,0.30033474766156254,0.18605119,0.2831789279977481,0.14902088
4,0.2660042746540378,0.1531918,0.24994058907032013,0.15004735
5,0.24910108197261305,0.15145658,0.23638042310873666,0.14927106
6,0.23271511341719067,0.1510341,0.2189763734738032,0.1495313
7,0.22636846124249346,0.15491009,0.21832916140556335,0.15144885
8,0.20769801056560347,0.15158583,0.2373529151082039,0.15119337
9,0.2164911923601347,0.22376013,0.23935709645350775,0.3688484
10,0.20876814556472442,0.24419583,0.20931643868486086,0.1496328
11,0.20135272140888608,0.15197268,0.20563172176480293,0.14971524
12,0.20235863919643796,0.15267518,0.19944856067498526,0.15279335
13,0.19553910414962208,0.15421833,0.1995647760728995,0.16108672
14,0.19423136925872633,0.15538023,0.19674681375424066,0.15270728
15,0.1944693024544155,0.1665111,0.19401751086115837,0.15871614
16,0.19226469559704557,0.15666528,0.18991222232580185,0.15925758
17,0.191694075570387,0.16472024,0.1896222730477651,0.16236547
18,0.2266267932513181,0.38227797,0.2096093793710073,0.38305935
19,0.19447177670457783,0.29539424,0.19131464386979738,0.1859238
