epoch,loss,mean_io_u,val_loss,val_mean_io_u
0,0.1602313038932575,0.8782957,0.17154355465180188,0.8964734
1,0.16084168930033016,0.8814737,0.17026178250476637,0.88897514
2,0.18167260471997024,0.8539405,0.16894385730595096,0.86947143
3,0.1687108003591741,0.8520112,0.1735588159311098,0.84988487
4,0.16530877989009732,0.8780998,0.1698573307146,0.89436316
5,0.16723685467517876,0.8821806,0.1681179478845372,0.8745916
6,0.15540076112476314,0.87918055,0.1677386093958808,0.89426506
7,0.14993694397807691,0.88172126,0.16897183790344872,0.8720087
8,0.15012536218872918,0.8843653,0.17250425735821992,0.894958
9,0.1472026973957077,0.8855144,0.1600342193305169,0.8937532
10,0.1553804947618185,0.88504994,0.1636749295170872,0.8961804
11,0.1484858949806677,0.8838759,0.18755696106560624,0.8497042
0,0.16716129639569452,0.74708486
