epoch,loss,mean_io_u_1,val_loss,val_mean_io_u_1
0,0.3278280234247338,0.75008595,0.07239244387110197,0.9081664
1,0.05690095905602575,0.88835347,0.07171875336636901,0.91158116
2,0.05661828757618111,0.88788486,0.07117214478404138,0.9096098
3,0.05138405073071314,0.88876104,0.07105470060574642,0.90912384
4,0.05862831967099015,0.8884719,0.07008195088445386,0.90922797
5,0.05768511706328442,0.88845086,0.07116426160629792,0.90981376
6,0.05584795177928536,0.8874283,0.07046430027802857,0.9064915
7,0.0525270891560416,0.8868296,0.0707336803524339,0.9055269
8,0.05489050688144785,0.884995,0.07005035149010999,0.9049014
9,0.0504469161212022,0.886508,0.07074353279542535,0.90842235
10,0.057438195213507154,0.8856622,0.07027749174811741,0.90425885
11,0.0542562277272915,0.8857141,0.07129141978825194,0.9058884
12,0.05306407584887369,0.88582563,0.07012390985842423,0.9082764
13,0.04797653440406144,0.8857876,0.07083418172819267,0.9058277
